Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit
175178618;2023.11.24 13:23:06;sell;0.01;eurgbp#;0.86881;0.86853;0.00000;2023.11.24 13:58:57;0.86853;0.00;0.00;0.00;0.32
175176833;2023.11.24 11:53:27;buy;0.01;gbpusd#;125.482;125.600;0.00000;2023.11.24 12:31:47;125.600;0.00;0.00;0.00;1.08
175175151;2023.11.24 10:41:54;sell;0.01;audchf#;0.58007;0.58007;0.00000;2023.11.24 15:28:33;0.58007;0.00;0.00;0.00;0.00
175160363;2023.11.23 14:59:56;sell;0.01;eurgbp#;0.86927;0.86850;0.00000;2023.11.24 12:35:05;0.86850;0.00;0.00;0.00;0.89
175142660;2023.11.22 19:08:38;buy;0.01;eurgbp#;0.87181;0.87182;0.00000;2023.11.23 07:18:33;0.87182;0.00;0.00;0.00;0.01
175135848;2023.11.22 15:59:56;sell;0.01;gbpjpy#;186.764;186.751;0.000;2023.11.22 16:04:08;186.738;0.00;0.00;0.00;0.16
175130625;2023.11.22 11:10:51;sell;0.01;nzdusd#;0.60274;0.60252;0.00000;2023.11.22 11:23:44;0.60254;0.00;0.00;0.00;0.19
175129858;2023.11.22 10:46:09;buy;0.01;silver#;23.784;23.795;0.000;2023.11.22 11:12:56;23.794;0.00;0.00;0.00;0.46
175129706;2023.11.22 10:44:36;buy;0.01;gold#;2000.44;2000.45;0.00;2023.11.22 10:47:59;2000.44;0.00;0.00;0.00;0.00
175129576;2023.11.22 10:42:12;sell;0.01;usdchf#;0.88580;0.88502;0.00000;2023.11.22 11:11:54;0.88502;0.00;0.00;0.00;0.81
175129371;2023.11.22 10:37:41;buy;0.01;eurusd#;108.977;109.081;0.00000;2023.11.22 11:44:29;109.081;0.00;0.00;0.00;0.95
175129296;2023.11.22 10:35:49;buy;0.01;audusd#;0.65339;0.65347;0.00000;2023.11.22 10:48:30;0.65347;0.00;0.00;0.00;0.07
175116635;2023.11.21 17:47:17;buy;0.01;audchf#;0.57940;0.57953;0.00000;2023.11.21 18:47:20;0.57953;0.00;0.00;0.00;0.14
175109280;2023.11.21 12:26:04;sell;0.01;audusd#;0.65682;0.65641;0.00000;2023.11.21 17:31:10;0.65641;0.00;0.00;0.00;0.38
175109276;2023.11.21 12:25:36;sell;0.01;gold#;1988.39;1987.45;0.00;2023.11.21 13:03:03;1987.49;0.00;0.00;0.00;0.82
175106869;2023.11.21 10:08:29;sell;0.01;gold#;1993.80;1992.78;0.00;2023.11.21 10:12:44;1992.80;0.00;0.00;0.00;0.91
175098449;2023.11.20 22:01:46;sell;0.01;eurgbp#;0.87492;0.87479;0.00000;2023.11.21 08:38:24;0.87479;0.00;0.00;0.00;0.15
175096753;2023.11.20 19:46:35;buy;0.01;eurusd#;109.387;0.00000;0.00000;2023.11.20 20:52:58;109.442;0.00;0.00;0.00;0.50
175093318;2023.11.20 16:53:13;sell;0.05;gold#;1972.74;0.00;0.00;2023.11.20 16:59:41;1970.33;0.00;0.00;0.00;11.02
175090329;2023.11.20 14:57:50;sell;0.01;gold#;1972.75;1972.41;0.00;2023.11.20 15:07:18;1972.49;0.00;0.00;0.00;0.24
175090316;2023.11.20 14:56:53;sell;0.01;gold#;1973.19;1973.08;0.00;2023.11.20 14:57:46;1973.08;0.00;0.00;0.00;0.10
175086927;2023.11.20 12:10:49;buy;0.10;eurusd#;109.285;109.316;0.00000;2023.11.20 12:40:35;109.316;0.00;0.00;0.00;2.84
175086363;2023.11.20 11:51:47;buy;0.10;usdjpy#;148.307;148.326;148.702;2023.11.20 12:06:31;148.326;0.00;0.00;0.00;1.17
175085057;2023.11.20 10:56:58;buy;0.10;nzdusd#;0.60312;0.60400;0.00000;2023.11.20 11:35:48;0.60397;0.00;0.00;0.00;7.77
175057037;2023.11.17 14:37:38;buy;0.05;audusd#;0.65008;0.00000;0.00000;2023.11.17 19:55:07;0.65026;0.00;0.00;0.00;0.82
175041451;2023.11.16 22:22:02;sell;0.10;usdjpy#;150.658;150.655;0.000;2023.11.17 02:02:34;150.656;0.00;0.00;0.00;0.13
